culture,met,rep,frac_slope
mono,0,0,0.0
mono,0,1,0.0
mono,0,2,8.639614236148997e-10
mono,0,3,0.0
mono,0,4,5.3994589271069625e-11
mono,0,5,0.0126040670493361
mono,0,6,0.0
mono,0,7,0.0
mono,0,8,0.0
mono,0,9,0.05177886449355893
mono,500,0,0.12395754279549843
mono,500,1,0.13623236516601248
mono,500,2,0.12169060294106784
mono,500,3,0.11956752071842883
mono,500,4,0.1171097164057856
mono,500,5,0.11377093606233275
mono,500,6,0.12306556099684593
mono,500,7,0.12212493413467124
mono,500,8,0.11278933969102381
mono,500,9,0.11743369800119811
mono,1000,0,0.11797800136218041
mono,1000,1,0.11476207571646162
mono,1000,2,0.11528105019898444
mono,1000,3,0.11541349361423159
mono,1000,4,0.11707639569233315
mono,1000,5,0.12053671916974815
mono,1000,6,0.1275387131061244
mono,1000,7,0.12221549478215113
mono,1000,8,0.12129898486654743
mono,1000,9,0.12991544222083481
mono,1500,0,0.12099943356305931
mono,1500,1,0.11898646359322168
mono,1500,2,0.11599335927012354
mono,1500,3,0.12494198300460627
mono,1500,4,0.1177599342463756
mono,1500,5,0.12443227339255344
mono,1500,6,0.1249718556444495
mono,1500,7,0.1152923495825235
mono,1500,8,0.11285919345323807
mono,1500,9,0.11660630784605827
mono,2000,0,0.12601164922921398
mono,2000,1,0.12321407964005798
mono,2000,2,0.12731483196042293
mono,2000,3,0.11877854046491804
mono,2000,4,0.11859984873527543
mono,2000,5,0.12168824582404482
mono,2000,6,0.12465433607783169
mono,2000,7,0.10996409833251508
mono,2000,8,0.12212914028964383
mono,2000,9,0.11045452917189759
mono,2500,0,0.11245578808649069
mono,2500,1,0.1177611933835531
mono,2500,2,0.12394422103453152
mono,2500,3,0.12089044413861053
mono,2500,4,0.11729217659065026
mono,2500,5,0.11942779573270923
mono,2500,6,0.13467009715729672
mono,2500,7,0.12611816112766813
mono,2500,8,0.11913392843921743
mono,2500,9,0.12066535269127522
mono,3000,0,0.11658038473279644
mono,3000,1,0.12379478130969288
mono,3000,2,0.10804321540747885
mono,3000,3,0.11615605396749348
mono,3000,4,0.12365409524095147
mono,3000,5,0.12429361657090639
mono,3000,6,0.12009606122970626
mono,3000,7,0.11910596046458416
mono,3000,8,0.11031612653790444
mono,3000,9,0.10928774381617425
mono,3500,0,0.1131467242224135
mono,3500,1,0.12267501639606321
mono,3500,2,0.125119858721988
mono,3500,3,0.1130958340799846
mono,3500,4,0.13128407720302376
mono,3500,5,0.11872505790013814
mono,3500,6,0.11272578018478288
mono,3500,7,0.10518917683367837
mono,3500,8,0.11440112184510022
mono,3500,9,0.11965258369213595
mono,4000,0,0.11828120687071297
mono,4000,1,0.11149869191362172
mono,4000,2,0.11848312472675387
mono,4000,3,0.11326816332923643
mono,4000,4,0.11226706790448522
mono,4000,5,0.12466624024149023
mono,4000,6,0.11492748789355418
mono,4000,7,0.11994328005741973
mono,4000,8,0.12329196094527436
mono,4000,9,0.12167915004353011
mono,4500,0,0.1089875403151257
mono,4500,1,0.1272724591135106
mono,4500,2,0.12586715168928117
mono,4500,3,0.10849917818317935
mono,4500,4,0.11517321673064489
mono,4500,5,0.12184489354539618
mono,4500,6,0.11161636651677412
mono,4500,7,0.12351900673730266
mono,4500,8,0.11606839108369349
mono,4500,9,0.14148290038649017
mono,5000,0,0.11273265571439403
mono,5000,1,0.10813464388204937
mono,5000,2,0.11830144618629472
mono,5000,3,0.11279714717093817
mono,5000,4,0.11773604037169537
mono,5000,5,0.11898561251753183
mono,5000,6,0.11786088486250955
mono,5000,7,0.12579216497381035
mono,5000,8,0.12327497162422932
mono,5000,9,0.11528806537024228
mono,5500,0,0.11841473193461813
mono,5500,1,0.11248563012795244
mono,5500,2,0.10867900535620875
mono,5500,3,0.11526852322537744
mono,5500,4,0.11588715242512801
mono,5500,5,0.11638019191197994
mono,5500,6,0.11679343185820179
mono,5500,7,0.13950880699058865
mono,5500,8,0.12506451251138295
mono,5500,9,0.12202280549370043
mono,6000,0,0.12445002159412487
mono,6000,1,0.11084501476392913
mono,6000,2,0.11516567910035304
mono,6000,3,0.12016315676627667
mono,6000,4,0.11799017760120491
mono,6000,5,0.11702716294304034
mono,6000,6,0.11927605032207243
mono,6000,7,0.11262605839322588
mono,6000,8,0.11641994514140408
mono,6000,9,0.11873314486053642
mono,6500,0,0.11068748393813628
mono,6500,1,0.11923042120735838
mono,6500,2,0.11303476171036757
mono,6500,3,0.11763506123924472
mono,6500,4,0.11503583614646096
mono,6500,5,0.13841951935633465
mono,6500,6,0.12206284664297286
mono,6500,7,0.11282358787009525
mono,6500,8,0.11941124260285844
mono,6500,9,0.12060703963359067
mono,7000,0,0.10742716122366158
mono,7000,1,0.12125884960376232
mono,7000,2,0.1116881786090107
mono,7000,3,0.11923178321934176
mono,7000,4,0.10918925683265489
mono,7000,5,0.14588929855541066
mono,7000,6,0.12233580604609474
mono,7000,7,0.11953367259432218
mono,7000,8,0.135144137436082
mono,7000,9,0.1127537745967556
mono,7500,0,0.12074941685841482
mono,7500,1,0.11618770464119461
mono,7500,2,0.12060433182058852
mono,7500,3,0.12045019054466394
mono,7500,4,0.11482764902672965
mono,7500,5,0.11934240138577557
mono,7500,6,0.11824634738155403
mono,7500,7,0.11650450831246882
mono,7500,8,0.11734844650764543
mono,7500,9,0.11449481846224602
mono,8000,0,0.1245687424891049
mono,8000,1,0.11401772182428009
mono,8000,2,0.11886561374782066
mono,8000,3,0.11085118231203371
mono,8000,4,0.1194772141747963
mono,8000,5,0.12024226691335008
mono,8000,6,0.11952284902542364
mono,8000,7,0.1172199669052452
mono,8000,8,0.12683684894937294
mono,8000,9,0.10820074944210807
mono,8500,0,0.1137441592000969
mono,8500,1,0.1132739935738126
mono,8500,2,0.12601038954567959
mono,8500,3,0.11292178754630594
mono,8500,4,0.11890812401064457
mono,8500,5,0.11656187818030563
mono,8500,6,0.1143459670478767
mono,8500,7,0.126214486991415
mono,8500,8,0.12397953510684769
mono,8500,9,0.11200443538087476
mono,9000,0,0.11982270516908401
mono,9000,1,0.12163544340220353
mono,9000,2,0.12237590323126557
mono,9000,3,0.11532739456267892
mono,9000,4,0.11338844635713914
mono,9000,5,0.11528609007580752
mono,9000,6,0.11662871376087174
mono,9000,7,0.11034845380622499
mono,9000,8,0.10991910535295468
mono,9000,9,0.11774378505358385
mono,9500,0,0.12805246838251125
mono,9500,1,0.1242457125209338
mono,9500,2,0.12231286208678925
mono,9500,3,0.124992150078422
mono,9500,4,0.11560965509949113
mono,9500,5,0.12079566063905514
mono,9500,6,0.12009448435937413
mono,9500,7,0.11356780048319154
mono,9500,8,0.1137959729883839
mono,9500,9,0.11482833354594826
