culture,rep,met,lac,frac_rate
Monoculture,0,1000,1,0.0
Monoculture,1,1000,1,0.0
Monoculture,2,1000,1,0.0
Monoculture,3,1000,1,0.08827598783392243
Monoculture,4,1000,1,0.0
Monoculture,5,1000,1,0.0
Monoculture,6,1000,1,0.0
Monoculture,7,1000,1,0.0
Monoculture,8,1000,1,0.05963071511398971
Monoculture,9,1000,1,0.0
Monoculture,0,1000,5,0.0
Monoculture,1,1000,5,0.0
Monoculture,2,1000,5,0.13793406956312387
Monoculture,3,1000,5,0.0
Monoculture,4,1000,5,0.13357555027575932
Monoculture,5,1000,5,0.0
Monoculture,6,1000,5,0.037627658803222344
Monoculture,7,1000,5,0.10071316061265378
Monoculture,8,1000,5,0.0
Monoculture,9,1000,5,0.0
Monoculture,0,1000,10,0.009405482932753586
Monoculture,1,1000,10,0.02238664588908481
Monoculture,2,1000,10,0.0
Monoculture,3,1000,10,0.015462844814700573
Monoculture,4,1000,10,0.0
Monoculture,5,1000,10,0.04506132363943377
Monoculture,6,1000,10,0.09399570246906881
Monoculture,7,1000,10,0.0
Monoculture,8,1000,10,0.0
Monoculture,9,1000,10,0.1350992525538377
Monoculture,0,1000,20,0.00021664466154131483
Monoculture,1,1000,20,0.0
Monoculture,2,1000,20,0.05926189399383878
Monoculture,3,1000,20,0.10204825055784092
Monoculture,4,1000,20,0.1234988374947786
Monoculture,5,1000,20,0.1079734750898467
Monoculture,6,1000,20,0.05969672810721198
Monoculture,7,1000,20,0.09103137667892439
Monoculture,8,1000,20,0.0010850088732270245
Monoculture,9,1000,20,5.8539780420157e-05
Monoculture,0,1000,50,0.1048110934920039
Monoculture,1,1000,50,0.12055217233971338
Monoculture,2,1000,50,0.09680923908407343
Monoculture,3,1000,50,0.11345016451041068
Monoculture,4,1000,50,0.11012607095815435
Monoculture,5,1000,50,0.09363141755721582
Monoculture,6,1000,50,0.12475219783494235
Monoculture,7,1000,50,0.08143070264795534
Monoculture,8,1000,50,0.10968483564951699
Monoculture,9,1000,50,0.13268877540944224
Monoculture,0,1000,100,0.08728830048335343
Monoculture,1,1000,100,0.09811387637601945
Monoculture,2,1000,100,0.10144256297194815
Monoculture,3,1000,100,0.10873182750883795
Monoculture,4,1000,100,0.13580177433002724
Monoculture,5,1000,100,0.08195708283785083
Monoculture,6,1000,100,0.11523499572062686
Monoculture,7,1000,100,0.12165383732339881
Monoculture,8,1000,100,0.10181993601234374
Monoculture,9,1000,100,0.12027534969242808
Monoculture,0,1000,200,0.11876427096648783
Monoculture,1,1000,200,0.10327001001450602
Monoculture,2,1000,200,0.10879951842426829
Monoculture,3,1000,200,0.12035524781809462
Monoculture,4,1000,200,0.1297081512664851
Monoculture,5,1000,200,0.11419292809797313
Monoculture,6,1000,200,0.15324973334132508
Monoculture,7,1000,200,0.10711518103979309
Monoculture,8,1000,200,0.11971695361017248
Monoculture,9,1000,200,0.1140541799389235
Monoculture,0,1000,500,0.11955122040596185
Monoculture,1,1000,500,0.11630798961421017
Monoculture,2,1000,500,0.11693767195623656
Monoculture,3,1000,500,0.12574779096648406
Monoculture,4,1000,500,0.13788293646518654
Monoculture,5,1000,500,0.13700203567132108
Monoculture,6,1000,500,0.11138417256830972
Monoculture,7,1000,500,0.11628957282976586
Monoculture,8,1000,500,0.1158403820477901
Monoculture,9,1000,500,0.1212137453622947
Monoculture,0,1000,1000,0.11084842430087756
Monoculture,1,1000,1000,0.11558353776858464
Monoculture,2,1000,1000,0.1278841696820152
Monoculture,3,1000,1000,0.12255754163906302
Monoculture,4,1000,1000,0.11404496995461387
Monoculture,5,1000,1000,0.1166615967173353
Monoculture,6,1000,1000,0.1253687133132161
Monoculture,7,1000,1000,0.12843000708970592
Monoculture,8,1000,1000,0.12269887329966059
Monoculture,9,1000,1000,0.1185088394095068
Monoculture,0,1000,1500,0.11408728434485789
Monoculture,1,1000,1500,0.12067078047928502
Monoculture,2,1000,1500,0.12277896766918414
Monoculture,3,1000,1500,0.11214698735478495
Monoculture,4,1000,1500,0.12127810428810042
Monoculture,5,1000,1500,0.1183018769467507
Monoculture,6,1000,1500,0.11841959780433818
Monoculture,7,1000,1500,0.13119631540638593
Monoculture,8,1000,1500,0.12530217727944715
Monoculture,9,1000,1500,0.11848041300454265
Coculture,0,1,1,0.12919298802261983
Coculture,1,1,1,1.0912121747880423e-06
Coculture,2,1,1,0.0585122203991143
Coculture,3,1,1,1.0912121747880423e-06
Coculture,4,1,1,1.0912121747880423e-06
Coculture,5,1,1,1.0912121747880423e-06
Coculture,6,1,1,1.0912121747880423e-06
Coculture,7,1,1,1.0912121747880423e-06
Coculture,8,1,1,1.0912121747880423e-06
Coculture,9,1,1,1.0912121747880423e-06
Coculture,0,1,5,7.112791337949069e-07
Coculture,1,1,5,6.319324776645393e-07
Coculture,2,1,5,0.07502889860170352
Coculture,3,1,5,0.09283706386850357
Coculture,4,1,5,6.319324776645393e-07
Coculture,5,1,5,6.319324776645393e-07
Coculture,6,1,5,0.11917126665910256
Coculture,7,1,5,0.11697116947614783
Coculture,8,1,5,6.59101647073074e-07
Coculture,9,1,5,6.642397079495012e-07
Coculture,0,1,10,3.3165302206088424e-07
Coculture,1,1,10,0.10728643656361903
Coculture,2,1,10,3.3165302206088424e-07
Coculture,3,1,10,0.11859792316807814
Coculture,4,1,10,0.05931560203778623
Coculture,5,1,10,0.007247608716514575
Coculture,6,1,10,3.3165302206088424e-07
Coculture,7,1,10,3.5020913867722323e-07
Coculture,8,1,10,3.3165302206088424e-07
Coculture,9,1,10,0.10962219439429143
Coculture,0,1,20,0.028566170907402495
Coculture,1,1,20,0.12036541705616666
Coculture,2,1,20,0.06747431653103576
Coculture,3,1,20,0.015552409600438294
Coculture,4,1,20,0.04721408708825864
Coculture,5,1,20,0.07365809138668825
Coculture,6,1,20,0.13523527345657452
Coculture,7,1,20,0.10806179488007579
Coculture,8,1,20,0.0804171842707228
Coculture,9,1,20,0.02384958858570485
Coculture,0,1,50,0.06405890594111187
Coculture,1,1,50,0.05750968176522875
Coculture,2,1,50,0.13244709415341654
Coculture,3,1,50,0.012164545318532926
Coculture,4,1,50,0.06693822313698376
Coculture,5,1,50,0.10810948993331265
Coculture,6,1,50,0.09578578465408709
Coculture,7,1,50,0.07977777832150555
Coculture,8,1,50,0.08877775252113518
Coculture,9,1,50,0.08947909889333146
Coculture,0,1,100,0.09955268773497307
Coculture,1,1,100,0.07450418762894512
Coculture,2,1,100,0.10866369846740544
Coculture,3,1,100,0.12261057322181591
Coculture,4,1,100,0.09886363181333274
Coculture,5,1,100,0.1059957466580302
Coculture,6,1,100,0.1033002974555164
Coculture,7,1,100,0.1217180434060796
Coculture,8,1,100,0.12432378870268956
Coculture,9,1,100,0.10704049760915203
Coculture,0,1,200,0.12159154260207904
Coculture,1,1,200,0.09670335641672939
Coculture,2,1,200,0.10877290026501983
Coculture,3,1,200,0.10561890783312448
Coculture,4,1,200,0.11466674178702804
Coculture,5,1,200,0.10131443168302921
Coculture,6,1,200,0.09502327652956025
Coculture,7,1,200,0.10307771795487701
Coculture,8,1,200,0.10900567290707895
Coculture,9,1,200,0.13077667241038737
Coculture,0,1,500,0.11517512991069445
Coculture,1,1,500,0.11459337181688518
Coculture,2,1,500,0.1179873917758122
Coculture,3,1,500,0.11041619355194461
Coculture,4,1,500,0.11190551877918203
Coculture,5,1,500,0.10817661971416005
Coculture,6,1,500,0.11791040530141593
Coculture,7,1,500,0.11866162511814014
Coculture,8,1,500,0.10897708204007853
Coculture,9,1,500,0.11907333114126956
Coculture,0,1,1000,0.1299167488612006
Coculture,1,1,1000,0.11763242739200983
Coculture,2,1,1000,0.1123383898893042
Coculture,3,1,1000,0.11962017685113915
Coculture,4,1,1000,0.12374007673472687
Coculture,5,1,1000,0.11641363947260719
Coculture,6,1,1000,0.11266589187077752
Coculture,7,1,1000,0.11005116841480302
Coculture,8,1,1000,0.11056193344052954
Coculture,9,1,1000,0.1463029133891807
Coculture,0,1,1500,0.11210689195625005
Coculture,1,1,1500,0.12137108535291281
Coculture,2,1,1500,0.12141171439065976
Coculture,3,1,1500,0.12026452724060678
Coculture,4,1,1500,0.1244981401431142
Coculture,5,1,1500,0.11532614086959617
Coculture,6,1,1500,0.12215653139959237
Coculture,7,1,1500,0.1317436771157525
Coculture,8,1,1500,0.12082156666513622
Coculture,9,1,1500,0.11542506263139696
